date,symbol,close,adj_close,price_used,price_basis,sma_50,sma_200,ema_20,macd,macd_signal,macd_histogram,volume,rsi_14,volume_avg_20,volume_spike_ratio,volume_spike,ema_20_reclaim,screen_rule_pass
2025-09-04,ABG.JO,18452.00,18444.33,18444.33,adj_close,18119.43,,18635.29,179.22,268.84,-89.62,2579439.00,48.11,2861389.15,0.90,normal,false,
2025-09-05,ABG.JO,18595.00,18587.27,18587.27,adj_close,18137.32,,18630.72,155.04,246.08,-91.04,1723366.00,51.13,2754190.65,0.63,normal,false,
2025-09-08,ABG.JO,18915.00,18907.14,18907.14,adj_close,18163.61,,18657.05,159.84,228.83,-68.99,2381663.00,57.13,2656944.45,0.90,normal,true,
2025-09-09,ABG.JO,18886.00,18878.15,18878.15,adj_close,18185.94,,18678.10,159.47,214.96,-55.49,2618894.00,56.46,2616725.85,1.00,normal,false,
2025-09-10,ABG.JO,18046.00,18046.00,18046.00,adj_close,18195.00,,18617.90,90.98,190.16,-99.18,2355679.00,41.32,2557631.50,0.92,normal,false,
2025-09-11,ABG.JO,18310.00,18310.00,18310.00,adj_close,18200.35,,18588.58,57.34,163.60,-106.26,2619194.00,46.24,2453394.25,1.07,normal,false,
2025-09-12,ABG.JO,18468.00,18468.00,18468.00,adj_close,18210.66,,18577.09,42.94,139.46,-96.53,2612633.00,49.00,2414768.90,1.08,normal,false,
2025-09-15,ABG.JO,18355.00,18355.00,18355.00,adj_close,18222.51,,18555.94,22.15,116.00,-93.85,1339559.00,47.14,2326934.20,0.58,normal,false,
2025-09-16,ABG.JO,18441.00,18441.00,18441.00,adj_close,18236.48,,18545.00,12.47,95.29,-82.83,1915138.00,48.73,2325955.25,0.82,normal,false,
2025-09-17,ABG.JO,18472.00,18472.00,18472.00,adj_close,18250.83,,18538.04,7.22,77.68,-70.46,2367112.00,49.33,2359828.55,1.00,normal,false,
2025-09-18,ABG.JO,18572.00,18572.00,18572.00,adj_close,18267.33,,18541.28,11.00,64.34,-53.35,5331836.00,51.29,2539824.90,2.10,spike,true,
2025-09-19,ABG.JO,18392.00,18392.00,18392.00,adj_close,18286.52,,18527.06,-0.53,51.37,-51.90,3350848.00,47.71,2517363.60,1.33,normal,false,
2025-09-22,ABG.JO,18101.00,18101.00,18101.00,adj_close,18301.30,,18486.48,-32.76,34.54,-67.31,2411084.00,42.54,2498815.20,0.96,normal,false,
2025-09-23,ABG.JO,18367.00,18367.00,18367.00,adj_close,18318.79,,18475.10,-36.43,20.35,-56.77,1879727.00,48.08,2399663.50,0.78,normal,false,
2025-09-25,ABG.JO,18029.00,18029.00,18029.00,adj_close,18329.09,,18432.62,-65.84,3.11,-68.95,3568175.00,42.47,2479431.85,1.44,normal,false,
2025-09-26,ABG.JO,18100.00,18100.00,18100.00,adj_close,18340.32,,18400.94,-82.48,-14.01,-68.47,1668526.00,43.95,2425246.90,0.69,normal,false,
2025-09-29,ABG.JO,18014.00,18014.00,18014.00,adj_close,18345.23,,18364.09,-101.43,-31.49,-69.94,2366014.00,42.53,2455908.45,0.96,normal,false,
2025-09-30,ABG.JO,18109.00,18109.00,18109.00,adj_close,18354.55,,18339.79,-107.55,-46.70,-60.84,3825067.00,44.66,2575259.60,1.49,normal,false,
2025-10-01,ABG.JO,18301.00,18301.00,18301.00,adj_close,18372.12,,18336.10,-95.79,-56.52,-39.27,2716841.00,48.80,2593789.00,1.05,normal,false,
2025-10-02,ABG.JO,18556.00,18556.00,18556.00,adj_close,18392.61,,18357.04,-65.15,-58.25,-6.91,2867189.00,53.75,2624899.20,1.09,normal,true,
2025-10-03,ABG.JO,18885.00,18885.00,18885.00,adj_close,18417.45,,18407.32,-14.16,-49.43,35.27,2271516.00,59.22,2609503.05,0.87,normal,false,
2025-10-06,ABG.JO,19075.00,19075.00,19075.00,adj_close,18449.48,,18470.91,41.11,-31.32,72.43,2657994.00,62.02,2656234.45,1.00,normal,false,
2025-10-07,ABG.JO,18995.00,18995.00,18995.00,adj_close,18476.74,,18520.83,77.56,-9.55,87.11,2164149.00,60.15,2645358.75,0.82,normal,false,
2025-10-08,ABG.JO,19197.00,19197.00,19197.00,adj_close,18505.15,,18585.22,121.35,16.63,104.72,2349118.00,63.17,2631869.95,0.89,normal,false,
2025-10-09,ABG.JO,19277.00,19277.00,19277.00,adj_close,18533.20,,18651.11,160.66,45.44,115.22,1764056.00,64.32,2602288.80,0.68,normal,false,
2025-10-10,ABG.JO,19460.00,19460.00,19460.00,adj_close,18561.65,,18728.14,204.22,77.20,127.03,2533186.00,66.88,2597988.40,0.98,normal,false,
2025-10-13,ABG.JO,19444.00,19444.00,19444.00,adj_close,18593.28,,18796.32,234.75,108.71,126.04,891612.00,66.43,2511937.35,0.35,normal,false,
2025-10-14,ABG.JO,19338.00,19338.00,19338.00,adj_close,18621.33,,18847.91,247.54,136.47,111.06,1442520.00,63.40,2517085.40,0.57,normal,false,
2025-10-15,ABG.JO,19130.00,19130.00,19130.00,adj_close,18648.68,,18874.78,238.14,156.81,81.33,2686615.00,57.83,2555659.25,1.05,normal,false,
2025-10-16,ABG.JO,19227.00,19227.00,19227.00,adj_close,18677.38,,18908.32,235.80,172.61,63.20,1254557.00,59.61,2500031.50,0.50,normal,false,
2025-10-17,ABG.JO,19174.00,19174.00,19174.00,adj_close,18705.87,,18933.62,227.06,183.50,43.56,1724732.00,58.16,2319676.30,0.74,normal,false,
2025-10-20,ABG.JO,19231.00,19231.00,19231.00,adj_close,18735.52,,18961.94,222.16,191.23,30.93,1744271.00,59.31,2239347.45,0.78,normal,false,
2025-10-21,ABG.JO,19067.00,19067.00,19067.00,adj_close,18755.55,,18971.95,202.72,193.53,9.19,3409966.00,54.67,2289291.55,1.49,normal,false,
2025-10-22,ABG.JO,19260.00,19260.00,19260.00,adj_close,18773.16,,18999.38,200.56,194.93,5.63,2127521.00,58.76,2301681.25,0.92,normal,false,
2025-10-23,ABG.JO,19423.00,19423.00,19423.00,adj_close,18784.58,,19039.73,209.60,197.87,11.73,1785857.00,61.88,2212565.35,0.81,normal,false,
2025-10-24,ABG.JO,19390.00,19390.00,19390.00,adj_close,18791.18,,19073.09,211.65,200.62,11.03,2073541.00,60.88,2232816.10,0.93,normal,false,
2025-10-27,ABG.JO,19258.00,19258.00,19258.00,adj_close,18795.06,,19090.70,200.32,200.56,-0.24,3172176.00,56.89,2273124.20,1.40,normal,false,
2025-10-28,ABG.JO,19571.00,19571.00,19571.00,adj_close,18808.33,,19136.44,214.13,203.28,10.85,3766625.00,63.06,2270202.10,1.66,spike,false,
2025-10-29,ABG.JO,19576.00,19576.00,19576.00,adj_close,18823.41,,19178.30,222.90,207.20,15.70,1359338.00,63.15,2202326.95,0.62,normal,false,
2025-10-30,ABG.JO,19389.00,19389.00,19389.00,adj_close,18836.45,,19198.37,212.32,208.23,4.10,1468423.00,57.47,2132388.65,0.69,normal,false,
2025-10-31,ABG.JO,19384.00,19384.00,19384.00,adj_close,18849.86,,19216.05,201.21,206.82,-5.61,2053230.00,57.32,2121474.35,0.97,normal,false,
2025-11-03,ABG.JO,19562.00,19562.00,19562.00,adj_close,18854.94,,19249.00,204.42,206.34,-1.92,1707229.00,61.17,2073936.10,0.82,normal,false,
2025-11-04,ABG.JO,19410.00,19410.00,19410.00,adj_close,18858.60,,19264.33,192.47,203.57,-11.10,2666729.00,56.49,2099065.10,1.27,normal,false,
2025-11-05,ABG.JO,19659.00,19659.00,19659.00,adj_close,18874.44,,19301.92,200.78,203.01,-2.23,2874057.00,61.66,2125312.05,1.35,normal,false,
2025-11-06,ABG.JO,19756.00,19756.00,19756.00,adj_close,18894.55,,19345.16,212.74,204.96,7.79,2808050.00,63.49,2177511.75,1.29,normal,false,
2025-11-07,ABG.JO,19673.00,19673.00,19673.00,adj_close,18904.79,,19376.39,213.07,206.58,6.49,1708326.00,60.82,2136268.75,0.80,normal,false,
2025-11-10,ABG.JO,19998.00,19998.00,19998.00,adj_close,18927.31,,19435.59,236.82,212.63,24.19,2492646.00,66.71,2216320.45,1.12,normal,false,
2025-11-11,ABG.JO,20000.00,20000.00,20000.00,adj_close,18950.29,,19489.34,252.89,220.68,32.21,2721385.00,66.75,2280263.70,1.19,normal,false,
2025-11-12,ABG.JO,20457.00,20457.00,20457.00,adj_close,18984.16,,19581.50,299.06,236.36,62.70,2448946.00,73.29,2268380.25,1.08,normal,false,
2025-11-13,ABG.JO,20894.00,20894.00,20894.00,adj_close,19032.20,,19706.50,366.68,262.42,104.26,3672318.00,77.79,2389268.30,1.54,spike,false,
2025-11-14,ABG.JO,20716.00,20716.00,20716.00,adj_close,19077.63,,19802.64,401.28,290.19,111.09,4116788.00,72.44,2508871.10,1.64,spike,false,
2025-11-17,ABG.JO,20957.00,20957.00,20957.00,adj_close,19125.03,,19912.58,443.04,320.76,122.28,3955876.00,74.95,2619451.35,1.51,spike,false,
2025-11-18,ABG.JO,20687.00,20687.00,20687.00,adj_close,19160.62,,19986.34,449.17,346.45,102.73,3955916.00,67.52,2646748.85,1.49,normal,false,
2025-11-19,ABG.JO,20846.00,20846.00,20846.00,adj_close,19199.98,,20068.21,461.54,369.46,92.08,1880469.00,69.44,2634396.25,0.71,normal,false,
2025-11-20,ABG.JO,21111.00,21111.00,21111.00,adj_close,19261.28,,20167.52,487.11,392.99,94.12,2622568.00,72.38,2676231.80,0.98,normal,false,
2025-11-21,ABG.JO,20850.00,20850.00,20850.00,adj_close,19312.08,,20232.52,480.78,410.55,70.23,2658353.00,65.69,2705472.40,0.98,normal,false,
2025-11-24,ABG.JO,20609.00,20609.00,20609.00,adj_close,19354.90,,20268.37,451.11,418.66,32.44,3876576.00,60.16,2740692.40,1.41,normal,false,
2025-11-25,ABG.JO,20743.00,20743.00,20743.00,adj_close,19402.66,,20313.58,433.41,421.61,11.80,2882486.00,62.07,2696485.45,1.07,normal,false,
2025-11-26,ABG.JO,20984.00,20984.00,20984.00,adj_close,19453.52,,20377.43,433.83,424.06,9.78,1692700.00,65.30,2713153.55,0.62,normal,false,
2025-11-27,ABG.JO,20780.00,20780.00,20780.00,adj_close,19499.68,,20415.77,412.94,421.83,-8.89,2376051.00,60.60,2758534.95,0.86,normal,false,
